Timestamp,Temperature,GHI,DNI,DHI,CloudCover,Actual_Output
2008-01-10 07:00:00,27.9,0.17,0.117,0.053,0,0.0
2008-01-10 18:00:00,38.6,0.251,0.182,0.069,6,0.0
2008-01-11 07:00:00,28.4,0.165,0.109,0.056,13,0.60002778225
2008-01-11 08:00:00,32.1,0.402,0.322,0.08,27,1.19857217375
2008-01-11 09:00:00,34.3,0.637,0.54,0.097,7,1.9213639198333334
2008-01-11 10:00:00,36.1,0.839,0.73,0.109,0,2.457025011416667
2008-01-11 11:00:00,37.7,0.99,0.873,0.117,0,2.432463884416667
2008-01-11 12:00:00,38.8,1.077,0.956,0.121,0,2.7206305860833333
2008-01-11 13:00:00,39.7,1.092,0.97,0.122,0,2.9180500109166663
2008-01-11 14:00:00,40.2,1.017,0.894,0.123,1,2.693358302
2008-01-11 15:00:00,40.3,0.885,0.755,0.13,4,1.8184944490833335
2008-01-11 16:00:00,40.4,0.715,0.6,0.115,8,1.0106388529166666
2008-01-11 17:00:00,39.8,0.493,0.395,0.098,3,0.41976944725
2008-01-11 18:00:00,38.8,0.264,0.199,0.065,0,0.05579166458333334
2008-01-11 19:00:00,37.4,0.056,0.032,0.024,0,0.0
2008-01-12 07:00:00,28.9,0.163,0.111,0.052,0,0.39818890025000003
2008-01-12 08:00:00,31.5,0.396,0.316,0.08,0,1.56756669775
2008-01-12 09:00:00,33.4,0.629,0.532,0.097,0,2.9852222205000003
2008-01-12 10:00:00,35.2,0.83,0.722,0.108,0,3.551683267
2008-01-12 11:00:00,36.8,0.981,0.865,0.116,0,3.863983333083333
2008-01-12 12:00:00,38.2,1.069,0.948,0.121,0,3.91057773425
2008-01-12 13:00:00,39.3,1.085,0.964,0.121,2,3.1221833985000003
2008-01-12 14:00:00,40.0,1.025,0.902,0.123,3,2.358577862666667
2008-01-12 15:00:00,40.2,0.908,0.802,0.106,13,1.3745166013333332
2008-01-12 16:00:00,40.2,0.718,0.612,0.106,17,0.4604333216666667
2008-01-12 18:00:00,37.7,0.23,0.15,0.08,46,0.028299995666666664
2008-01-12 19:00:00,36.6,0.055,0.03,0.025,15,0.00023333333333333333
2008-02-10 07:00:00,21.5,0.091,0.055,0.036,14,0.0
2008-02-10 08:00:00,23.1,0.319,0.239,0.08,13,0.0
2008-02-10 18:00:00,30.2,0.161,0.078,0.083,72,0.0
2008-02-11 07:00:00,22.3,0.081,0.03,0.051,8,0.09924444766666667
2008-02-11 08:00:00,24.0,0.282,0.169,0.113,6,0.12778333558333332
